zip,zone,delivery_rate,pickup_rate
48502,AHM Clarkston 4.B, $100.00 , $10.00 
48317,AHM Utica 1.A, $100.00 , $10.00 
48316,AHM Utica 1.A, $100.00 , $10.00 
48307,AHM Utica 1.A, $100.00 , $10.00 
48309,AHM Utica 1.A, $100.00 , $10.00 
48306,AHM Utica 1.A, $100.00 , $10.00 
48363,AHM Utica 1.A, $100.00 , $10.00 
48317,AHM Utica 1.B, $100.00 , $10.00 
48314,AHM Utica 1.B, $100.00 , $10.00 
48310,AHM Utica 1.B, $100.00 , $10.00 
48085,AHM Utica 1.B, $100.00 , $10.00 
48083,AHM Utica 1.B, $100.00 , $10.00 
48017,AHM Utica 1.B, $100.00 , $10.00 
48084,AHM Utica 1.B, $100.00 , $10.00 
48009,AHM Utica 1.B, $100.00 , $10.00 
48304,AHM Utica 1.B, $100.00 , $10.00 
48098,AHM Utica 1.B, $100.00 , $10.00 
48317,AHM Utica 2.A, $100.00 , $10.00 
48313,AHM Utica 2.A, $100.00 , $10.00 
48312,AHM Utica 2.A, $100.00 , $10.00 
48038,AHM Utica 2.A, $100.00 , $10.00 
48036,AHM Utica 2.A, $100.00 , $10.00 
48043,AHM Utica 2.A, $100.00 , $10.00 
48045,AHM Utica 2.A, $100.00 , $10.00 
48317,AHM Utica 2.B, $100.00 , $10.00 
48315,AHM Utica 2.B, $100.00 , $10.00 
48044,AHM Utica 2.B, $100.00 , $10.00 
48317,AHM Utica 3.A, $100.00 , $10.00 
48315,AHM Utica 3.A, $100.00 , $10.00 
48042,AHM Utica 3.A, $100.00 , $10.00 
48044,AHM Utica 3.A, $100.00 , $10.00 
48047,AHM Utica 3.A, $100.00 , $10.00 
48023,AHM Utica 3.A, $100.00 , $10.00 
48001,AHM Utica 3.A, $100.00 , $10.00 
48028,AHM Utica 3.A, $100.00 , $10.00 
48317,AHM Utica 3.B, $100.00 , $10.00 
48315,AHM Utica 3.B, $100.00 , $10.00 
48044,AHM Utica 3.B, $100.00 , $10.00 
